Period,From date,To date,Geographic area,Age group,Male Cases,Male Rate,Female Cases,Female Rate,Total Cases,Total Rate,Male Hospitalizations,Male Hospitalizations Rate,Female Hospitalizations,Female Hospitalizations Rate,Total Hospitalizations Count,Total Hospitalizations Rate,Unknown Sex Hospitalizations,Unknown Sex Cases,Unknown Age and Sex Hospitalizations,Unknown Age and Sex Cases
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,80+,1,28.9,0,0,1,12,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,All ages,2,2.7,1,1.3,3,2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,60 to 79,0,0,1,4.9,1,2.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peterborough Public Health ,All ages,0,0,1,1.3,1,0.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,20 to 39,0,0,1,10,1,4.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,60 to 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Porcupine Health Unit,All ages,0,0,1,2.4,1,1.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,60 to 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Renfrew County and District Health Unit,All ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,60 to 79,1,3.7,2,7.1,3,5.5,1,3.7,0,0,1,1.8,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,80+,0,0,2,30.7,2,17.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Eastern Ontario Health Unit,All ages,1,0.9,4,3.6,5,2.3,1,0.9,0,0,1,0.5,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,0 to 4,0,0,1,6.8,1,3.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,20 to 39,1,1.2,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,40 to 59,0,0,1,1.2,1,0.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,60 to 79,5,7.4,3,4.1,8,5.7,1,1.5,1,1.4,2,1.4,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,80+,4,31.6,4,23.8,8,27.1,1,7.9,0,0,1,3.4,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Simcoe Muskoka District Health Unit ,All ages,10,3.2,9,2.9,19,3.1,2,0.6,1,0.3,3,0.5,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,20 to 39,0,0,3,12,3,5.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,60 to 79,1,4.3,3,12,4,8.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,80+,1,23.5,1,15.4,2,18.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Public Health Sudbury & Districts,All ages,2,2,7,6.8,9,4.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,20 to 39,3,14.2,0,0,3,7.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,40 to 59,0,0,1,5.1,1,2.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,60 to 79,1,5.4,0,0,1,2.7,1,5.4,0,0,1,2.7,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,80+,1,32,2,42.3,3,38.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Thunder Bay District Health Unit,All ages,5,6.4,3,3.9,8,5.1,1,1.3,0,0,1,0.6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,20 to 39,0,0,3,84.2,3,40.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,40 to 59,0,0,2,47,2,23.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,60 to 79,1,22.1,2,44,3,33.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,80+,1,126.3,2,168.8,3,151.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Timiskaming Health Unit,All ages,2,11.7,9,52.7,11,32.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,0 to 4,0,0,1,6.4,1,3.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,12 to 19,0,0,1,3.6,1,1.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,20 to 39,0,0,1,1.1,1,0.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,60 to 79,3,5.9,2,3.6,5,4.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,80+,7,75.7,12,91,19,84.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Region of Waterloo Public Health and Emergency Services,All ages,10,3.2,17,5.6,27,4.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,12 to 19,1,6.6,1,6.9,2,6.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,60 to 79,4,13.6,2,6.2,6,9.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,80+,1,19,0,0,1,7.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Wellington-Dufferin-Guelph Public Health,All ages,6,3.8,3,1.9,9,2.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,0 to 4,1,9.5,0,0,1,4.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,20 to 39,0,0,1,1.9,1,0.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,40 to 59,1,1.9,0,0,1,0.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,5 to 11,1,6.1,0,0,1,3.1,1,6.1,0,0,1,3.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,60 to 79,0,0,2,4.2,2,2.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,80+,1,12.5,2,16.2,3,14.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Windsor-Essex County Health Unit ,All ages,4,1.9,5,2.3,9,2.1,1,0.5,0,0,1,0.2,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,0 to 4,1,3.5,1,3.7,2,3.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,12 to 19,2,3.2,0,0,2,1.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,20 to 39,2,1.3,1,0.7,3,1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,40 to 59,4,2.4,5,2.8,9,2.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,60 to 79,10,8.8,7,5.6,17,7.1,1,0.9,0,0,1,0.4,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,80+,3,14.2,16,56.2,19,38.3,1,4.7,2,7,3,6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",York Region Public Health,All ages,22,3.7,30,4.9,52,4.3,2,0.3,2,0.3,4,0.3,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,0 to 4,3,4.4,2,3.1,5,3.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,20 to 39,2,0.4,10,2,12,1.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,40 to 59,3,0.8,9,2.3,12,1.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,60 to 79,12,5,15,5.4,27,5.2,1,0.4,3,1.1,4,0.8,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,80+,20,37.4,33,37.8,53,37.6,2,3.7,1,1.1,3,2.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Toronto Public Health,All ages,40,2.8,69,4.5,109,3.7,3,0.2,4,0.3,7,0.2,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,0 to 4,0,0,1,16.2,1,7.9,0,0,1,16.2,1,7.9,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,60 to 79,1,4.3,1,4,2,4.1,0,0,1,4,1,2.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,80+,1,22.7,0,0,1,9.2,1,22.7,0,0,1,9.2,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Southwestern Public Health,All ages,2,1.8,2,1.8,4,1.8,1,0.9,2,1.8,3,1.3,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,0 to 4,24103,6594.3,21402,6162.2,46095,6466.6,993,271.7,775,223.1,1771,248.4,3,590,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,12 to 19,54230,8129.6,57674,9020.3,113189,8663.9,272,40.8,301,47.1,576,44.1,3,1285,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,20 to 39,245184,11437.8,315605,15442.6,565046,13494.1,2512,117.2,2716,132.9,5244,125.2,16,4257,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,40 to 59,186370,9802.2,254233,12883.7,443052,11434.7,6913,363.6,5198,263.4,12133,313.1,22,2449,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,5 to 11,41117,7491.1,37055,7037.4,79289,7372.8,194,35.3,170,32.3,364,33.8,0,1117,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,60 to 79,116633,8167,120788,7710.5,238456,7962.7,15239,1067.1,11598,740.4,26881,897.6,44,1035,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,80+,52890,19432.1,86431,21457.7,139699,20696.9,11863,4358.5,11538,2864.5,23444,3473.3,43,378,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Ontario,All ages,720704,9836.7,893361,11912.1,1625379,10962.8,37989,518.5,32296,430.6,70418,475,133,11314,406,203
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,0 to 4,164,6536.5,134,5884.9,301,6289.2,8,318.9,7,307.4,15,313.4,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,12 to 19,234,5112.5,368,8286.4,613,6797.5,4,87.4,5,112.6,9,99.8,0,11,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,20 to 39,1306,9660.5,2196,17542.7,3577,13738.1,26,192.3,17,135.8,43,165.1,0,75,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,40 to 59,1196,8629.1,2035,13972.8,3302,11616.9,50,360.8,45,309,95,334.2,0,71,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,5 to 11,240,5825.2,245,6282.1,488,6084.8,2,48.5,2,51.3,4,49.9,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,60 to 79,1211,7587.7,1324,7801.1,2564,7785.7,164,1027.6,127,748.3,291,883.6,0,29,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,80+,643,18648.5,956,21183.2,1602,20123.1,135,3915.3,108,2393.1,243,3052.4,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Algoma Public Health,All ages,4994,8611.4,7259,12264.9,12450,10624.9,389,670.8,311,525.5,700,597.4,0,197,0,2
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,0 to 4,285,6385.8,240,5961.3,528,6219.8,22,492.9,20,496.8,42,494.8,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,12 to 19,514,6724.2,590,8104.4,1109,7431,2,26.2,4,54.9,6,40.2,0,5,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,20 to 39,1792,8439.3,3017,15261.3,4846,11818.6,31,146,29,146.7,60,146.3,0,37,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,40 to 59,1562,7763.8,2612,13126.3,4187,10462.8,74,367.8,63,316.6,137,342.3,0,13,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,5 to 11,411,6193.5,362,5617.6,779,5955.7,2,30.1,1,15.5,3,22.9,0,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,60 to 79,1018,6611.7,1195,7064.7,2220,6870.5,206,1337.9,183,1081.9,389,1203.9,0,7,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,80+,513,19761.2,807,19760,1323,19805.4,176,6779.7,181,4431.9,358,5359.3,1,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Brant County Health Unit,All ages,6097,7807.8,8826,11255.2,14998,9583,513,656.9,481,613.4,995,635.8,1,75,0,1
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,0 to 4,1272,6213.4,1158,5873.1,2434,6056.4,47,229.6,32,162.3,79,196.6,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,12 to 19,2694,7539.7,2857,8322.4,5554,7927.5,9,25.2,14,40.8,23,32.8,0,3,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,20 to 39,10820,10754.2,14581,15142.2,25433,12916.3,88,87.5,106,110.1,194,98.5,0,32,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,40 to 59,9247,9604.9,12725,12536.8,21994,11120.7,259,269,207,203.9,466,235.6,0,22,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,5 to 11,2110,6873.9,1958,6607.1,4070,6746.1,10,32.6,4,13.5,14,23.2,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,60 to 79,4825,7422.6,5189,7314.1,10024,7373.4,467,718.4,377,531.4,844,620.8,0,10,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,80+,1938,19061.7,3230,20249.5,5172,19802.4,292,2872,293,1836.9,585,2239.8,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Durham Region Health Department ,All ages,32908,9167.7,41700,11320.1,74686,10268.5,1172,326.5,1033,280.4,2205,303.2,0,78,0,1
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,0 to 4,169,3637.5,127,2897.6,296,3278.3,12,258.3,8,182.5,20,221.5,0,0,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,12 to 19,371,5170.7,456,6493.9,837,5895.6,2,27.9,3,42.7,5,35.2,0,10,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,20 to 39,1219,6120.4,2032,11156.9,3271,8578.5,16,80.3,13,71.4,29,76.1,0,20,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,40 to 59,1095,5166.3,1817,8496.2,2929,6878.7,49,231.2,24,112.2,74,173.8,1,17,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,5 to 11,224,3316.1,218,3290.6,444,3318.4,1,14.8,0,0,1,7.5,0,2,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,60 to 79,1116,4565.7,1188,4626.3,2319,4626.7,131,535.9,102,397.2,233,464.9,0,15,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,80+,719,15095.5,1160,18079.8,1885,16862,101,2120.5,76,1184.5,177,1583.3,0,6,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Grey Bruce Health Unit,All ages,4915,5529.1,6999,7800.6,11984,6709.3,312,351,226,251.9,539,301.8,1,70,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,0 to 4,134,4364.8,112,3831.7,250,4171.5,6,195.4,4,136.8,10,166.9,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,12 to 19,332,6221.9,378,7443.9,714,6856.2,0,0,3,59.1,3,28.8,0,4,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,20 to 39,1353,9128.3,2117,16178.8,3492,12513,8,54,14,107,22,78.8,0,22,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,40 to 59,1224,7869.9,1921,12985.9,3165,10429.7,43,276.5,31,209.6,74,243.9,0,20,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,5 to 11,252,5372,243,5345.4,496,5369.7,1,21.3,0,0,1,10.8,0,1,0,0
cumulative COVID-19 cases,"January 15, 2020","July 1, 2023",Haldimand-Norfolk Health Unit,60 to 79,996,6352.4,1129,6935.7,2138,6690.2,123,784.5,107,657.3,232,726,2,13,0,0
